open_time_raw,open_time_utc,open_time_eastern,open,high,low,close,volume,close_time_raw,close_time_utc,close_time_eastern,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1773160800000000,2026-03-10T16:40:00+00:00,2026-03-10T12:40:00-04:00,71307.81000000,71307.81000000,71192.48000000,71207.45000000,31.76096000,1773160859999999,2026-03-10T16:40:59.999999+00:00,2026-03-10T12:40:59.999999-04:00,2263056.93184960,4839,12.61233000,898662.57160340,0
1773160860000000,2026-03-10T16:41:00+00:00,2026-03-10T12:41:00-04:00,71207.46000000,71240.81000000,71207.46000000,71239.07000000,5.13505000,1773160919999999,2026-03-10T16:41:59.999999+00:00,2026-03-10T12:41:59.999999-04:00,365754.53420380,2548,1.28244000,91343.10633280,0
1773160920000000,2026-03-10T16:42:00+00:00,2026-03-10T12:42:00-04:00,71239.06000000,71278.33000000,71239.06000000,71278.32000000,13.32572000,1773160979999999,2026-03-10T16:42:59.999999+00:00,2026-03-10T12:42:59.999999-04:00,949484.57620490,2759,7.29613000,519829.26840870,0
1773160980000000,2026-03-10T16:43:00+00:00,2026-03-10T12:43:00-04:00,71278.32000000,71380.01000000,71274.81000000,71357.44000000,11.15314000,1773161039999999,2026-03-10T16:43:59.999999+00:00,2026-03-10T12:43:59.999999-04:00,795558.67825230,3300,3.91360000,279186.21532460,0
1773161040000000,2026-03-10T16:44:00+00:00,2026-03-10T12:44:00-04:00,71357.44000000,71404.20000000,71357.43000000,71382.63000000,12.65463000,1773161099999999,2026-03-10T16:44:59.999999+00:00,2026-03-10T12:44:59.999999-04:00,903317.17601180,3185,6.89951000,492503.17980210,0
1773161100000000,2026-03-10T16:45:00+00:00,2026-03-10T12:45:00-04:00,71382.62000000,71391.95000000,71287.22000000,71287.22000000,33.27231000,1773161159999999,2026-03-10T16:45:59.999999+00:00,2026-03-10T12:45:59.999999-04:00,2374189.08766670,5097,15.66760000,1118224.28323670,0
1773161160000000,2026-03-10T16:46:00+00:00,2026-03-10T12:46:00-04:00,71287.22000000,71337.35000000,71236.53000000,71280.45000000,23.98730000,1773161219999999,2026-03-10T16:46:59.999999+00:00,2026-03-10T12:46:59.999999-04:00,1710159.85166740,5509,6.66848000,475304.46552800,0
1773161220000000,2026-03-10T16:47:00+00:00,2026-03-10T12:47:00-04:00,71280.45000000,71283.09000000,71147.37000000,71191.67000000,38.05942000,1773161279999999,2026-03-10T16:47:59.999999+00:00,2026-03-10T12:47:59.999999-04:00,2709618.65142970,7006,10.47847000,746045.78153770,0
1773161280000000,2026-03-10T16:48:00+00:00,2026-03-10T12:48:00-04:00,71191.67000000,71261.13000000,71185.12000000,71228.61000000,10.89387000,1773161339999999,2026-03-10T16:48:59.999999+00:00,2026-03-10T12:48:59.999999-04:00,775861.83794950,4113,6.77774000,482695.15571660,0
1773161340000000,2026-03-10T16:49:00+00:00,2026-03-10T12:49:00-04:00,71228.62000000,71302.48000000,71228.62000000,71252.18000000,7.28709000,1773161399999999,2026-03-10T16:49:59.999999+00:00,2026-03-10T12:49:59.999999-04:00,519389.18112840,3530,2.50607000,178614.92673740,0
1773161400000000,2026-03-10T16:50:00+00:00,2026-03-10T12:50:00-04:00,71252.18000000,71269.98000000,71200.00000000,71269.97000000,7.26725000,1773161459999999,2026-03-10T16:50:59.999999+00:00,2026-03-10T12:50:59.999999-04:00,517663.27639380,3955,2.61922000,186567.22607020,0
1773161460000000,2026-03-10T16:51:00+00:00,2026-03-10T12:51:00-04:00,71269.97000000,71360.25000000,71252.24000000,71338.83000000,13.73403000,1773161519999999,2026-03-10T16:51:59.999999+00:00,2026-03-10T12:51:59.999999-04:00,979587.90641340,4987,10.57363000,754206.09804410,0
1773161520000000,2026-03-10T16:52:00+00:00,2026-03-10T12:52:00-04:00,71338.83000000,71357.12000000,71317.29000000,71357.12000000,6.87978000,1773161579999999,2026-03-10T16:52:59.999999+00:00,2026-03-10T12:52:59.999999-04:00,490743.00845770,3043,3.45503000,246441.18955380,0
1773161580000000,2026-03-10T16:53:00+00:00,2026-03-10T12:53:00-04:00,71357.12000000,71380.20000000,71342.19000000,71342.19000000,10.03480000,1773161639999999,2026-03-10T16:53:59.999999+00:00,2026-03-10T12:53:59.999999-04:00,716119.40823470,3148,4.02109000,286960.09370040,0
1773161640000000,2026-03-10T16:54:00+00:00,2026-03-10T12:54:00-04:00,71342.19000000,71354.73000000,71315.39000000,71322.00000000,11.08158000,1773161699999999,2026-03-10T16:54:59.999999+00:00,2026-03-10T12:54:59.999999-04:00,790527.98284220,3123,6.16541000,439856.73971870,0
1773161700000000,2026-03-10T16:55:00+00:00,2026-03-10T12:55:00-04:00,71322.00000000,71334.20000000,71264.04000000,71273.29000000,6.89900000,1773161759999999,2026-03-10T16:55:59.999999+00:00,2026-03-10T12:55:59.999999-04:00,491895.72744780,3025,1.95036000,139056.31126130,0
